Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1982,24.7,24.3,46.7,50.4,58.8,136.5,230.5,276.1,126.1,51.3,46.1,13.7,1085.2,49,155.9,769.2,111.1
1983,18.8,23.6,43.1,58.6,70.6,150,282.4,305.9,251.9,85.7,10.8,22.6,1323.9,42.4,172.3,990.3,119
1984,18.7,36.2,21.8,44.2,56.1,190.7,285.9,265.2,145.3,60.1,15.2,15,1154.4,55,122.1,887.1,90.3
1985,23.2,9.6,19.9,38.2,59.7,154.9,289.8,234.1,151.3,113.9,19.2,26.1,1139.9,32.8,117.8,830.1,159.2
1986,15.1,36,28.2,47.1,48.5,180.9,261.5,228.3,124.5,71.5,47.2,27.8,1116.4,51.1,123.7,795.1,146.5
1987,13.9,21.5,26.9,41.1,65.3,130.5,220.1,243.1,150.6,92.6,44,21.5,1071.1,35.4,133.3,744.4,158.1
1988,8.9,28.2,50,41.1,69,157.7,376.5,300.1,218.4,53.8,15.8,17.9,1337.3,37.1,160.1,1052.7,87.5
1989,15,14.2,26.9,33.4,55,183.9,302.3,237.1,163.8,50.4,19.8,17,1118.7,29.2,115.3,887.1,87.2
1990,15,43.4,52.1,41.4,110.1,190.5,286.8,290,196.1,102.7,30.2,28.3,1386.5,58.3,203.5,963.5,161.1
1991,13.6,26.1,27.9,49.5,68.1,183.6,277,260,135.8,60.5,30,16.5,1148.6,39.7,145.4,856.5,107
1992,22.9,20.1,28.8,23.6,55.6,136.6,266.5,285,167.9,64.3,41.7,5.3,1118.3,43,107.9,856,111.3
1993,17.2,24,39.4,25.3,68.2,169.6,304.5,201.9,209.6,87.1,29.2,16.6,1192.6,41.2,133,885.6,132.8
1994,24.2,26.7,23.9,44.6,50.6,203.1,350.9,285.9,148.9,81.7,24.9,20.3,1285.7,50.8,119.2,988.8,126.9
1995,30.7,28.4,27,31,79.7,138.1,320.1,267.1,180.2,76.4,36,8.4,1223.2,59.2,137.7,905.5,120.8
1996,22.5,23.1,31.7,31.2,55.9,184.4,265.3,300.1,147.8,98.4,13.7,17,1191,45.6,118.8,897.5,129.1
1997,14.3,10.2,30.9,45.5,47,171.6,284.7,263,150.8,60.1,57.5,48.6,1184.3,24.5,123.4,870.1,166.3
1998,17.1,35.6,43.2,41.2,50.4,161.6,282.4,248.7,202.9,108.8,38.5,10.3,1240.9,52.8,134.8,895.6,157.6
